country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Peru,"$3,260 ","$3,356 ","$3,399 ","$3,400 ","$3,484 ","$3,702 ","$3,725 ","$3,698 ","$3,616 ","$3,532 ","$3,641 ","$3,764 ","$3,870 ","$3,775 ","$3,308 ","$3,355 ","$3,352 ","$3,590 ","$3,856 ","$3,418 ","$2,933 ","$2,729 ","$2,731 ","$2,660 ","$2,742 ","$3,019 ","$3,183 ","$3,215 ","$3,367 ","$3,302 ","$3,303 ","$3,346 ","$3,322 ","$3,458 ","$3,558 ","$3,691 ","$3,878 ","$4,124 ","$4,427 ","$4,781 ","$4,781 ","$5,131 ","$5,406 ","$5,669 ","$5,936 ","$6,015 ","$5,974 "
Philippines,"$1,196 ","$1,208 ","$1,240 ","$1,274 ","$1,352 ","$1,365 ","$1,405 ","$1,490 ","$1,533 ","$1,571 ","$1,617 ","$1,656 ","$1,671 ","$1,690 ","$1,680 ","$1,520 ","$1,374 ","$1,386 ","$1,411 ","$1,472 ","$1,528 ","$1,537 ","$1,495 ","$1,469 ","$1,470 ","$1,502 ","$1,537 ","$1,589 ","$1,634 ","$1,590 ","$1,605 ","$1,640 ","$1,650 ","$1,674 ","$1,721 ","$1,798 ","$1,846 ","$1,905 ","$1,992 ","$2,037 ","$2,025 ","$2,143 ","$2,185 ","$2,297 ","$2,423 ","$2,528 ","$2,635 "
Poland,"$3,795 ","$3,883 ","$3,972 ","$4,063 ","$4,152 ","$4,241 ","$4,330 ","$4,421 ","$4,515 ","$4,614 ","$4,712 ","$4,814 ","$4,918 ","$5,025 ","$5,131 ","$5,242 ","$5,358 ","$5,482 ","$5,617 ","$5,771 ","$5,933 ","$5,925 ","$5,490 ","$5,611 ","$5,806 ","$6,101 ","$6,516 ","$6,917 ","$7,403 ","$7,769 ","$8,121 ","$8,469 ","$8,574 ","$8,701 ","$9,017 ","$9,487 ","$9,828 ","$10,441 ","$11,189 ","$11,617 ","$11,912 ","$12,344 ","$12,928 ","$13,163 ","$13,393 ","$13,854 ","$14,581 "
Portugal,"$7,182 ","$8,418 ","$9,030 ","$9,776 ","$10,864 ","$10,840 ","$10,024 ","$10,481 ","$11,022 ","$11,290 ","$11,895 ","$12,373 ","$12,481 ","$12,735 ","$12,697 ","$12,442 ","$12,776 ","$13,291 ","$14,128 ","$15,178 ","$16,151 ","$16,790 ","$17,530 ","$17,705 ","$17,274 ","$17,336 ","$18,011 ","$18,577 ","$19,292 ","$20,081 ","$20,743 ","$21,420 ","$21,728 ","$21,796 ","$21,498 ","$21,795 ","$21,875 ","$22,132 ","$22,605 ","$22,577 ","$21,841 ","$22,198 ","$21,743 ","$20,826 ","$20,458 ","$20,613 ","$21,961 "
Puerto Rico,"$10,377 ","$11,250 ","$11,774 ","$12,260 ","$12,964 ","$13,235 ","$12,931 ","$13,325 ","$13,867 ","$14,652 ","$15,558 ","$16,010 ","$16,048 ","$15,605 ","$15,069 ","$15,801 ","$16,136 ","$16,784 ","$17,592 ","$18,464 ","$19,096 ","$19,394 ","$19,421 ","$20,079 ","$20,678 ","$21,303 ","$21,967 ","$22,350 ","$22,842 ","$24,243 ","$24,621 ","$24,924 ","$27,320 ","$27,769 ","$28,083 ","$28,571 ","$28,775 ","$28,640 ","$27,851 ","$27,511 ","$27,008 ","$26,438 ","$26,087 ","$25,553 ","$25,593 ","$25,753 ",..
Romania,"$3,887 ","$3,960 ","$4,039 ","$4,125 ","$4,219 ","$4,307 ","$4,395 ","$4,830 ","$5,310 ","$5,679 ","$5,922 ","$5,385 ","$5,395 ","$5,586 ","$5,913 ","$6,249 ","$6,224 ","$6,352 ","$6,378 ","$6,323 ","$5,935 ","$5,599 ","$4,885 ","$4,459 ","$4,533 ","$4,719 ","$5,068 ","$5,286 ","$4,978 ","$4,749 ","$4,699 ","$4,804 ","$5,084 ","$5,352 ","$5,643 ","$6,174 ","$6,453 ","$7,031 ","$7,486 ","$8,091 ","$7,558 ","$7,504 ","$7,697 ","$7,744 ","$8,036 ","$8,200 ","$9,527 "
Russia,"$6,357 ","$6,520 ","$6,684 ","$6,849 ","$7,019 ","$7,192 ","$7,364 ","$7,537 ","$7,713 ","$7,895 ","$8,085 ","$8,282 ","$8,486 ","$8,691 ","$8,894 ","$9,101 ","$9,317 ","$9,537 ","$9,765 ","$10,005 ","$9,892 ","$9,555 ","$9,053 ","$7,730 ","$7,058 ","$6,165 ","$5,904 ","$5,698 ","$5,786 ","$5,488 ","$5,857 ","$6,471 ","$6,834 ","$7,197 ","$7,765 ","$8,365 ","$8,940 ","$9,709 ","$10,559 ","$11,117 ","$10,243 ","$10,699 ","$11,155 ","$11,536 ","$11,692 ","$11,770 ","$11,039 "
Rwanda,$321 ,$330 ,$325 ,$317 ,$318 ,$314 ,$298 ,$344 ,$340 ,$358 ,$388 ,$409 ,$418 ,$412 ,$423 ,$393 ,$400 ,$410 ,$396 ,$400 ,$387 ,$368 ,$351 ,$364 ,$321 ,$187 ,$300 ,$283 ,$275 ,$285 ,$300 ,$318 ,$337 ,$372 ,$368 ,$382 ,$398 ,$424 ,$443 ,$479 ,$494 ,$515 ,$541 ,$572 ,$583 ,$607 ,$690 
Samoa,"$2,682 ","$2,649 ","$2,621 ","$2,591 ","$2,601 ","$2,618 ","$2,629 ","$2,649 ","$2,632 ","$2,518 ","$2,762 ","$2,561 ","$2,302 ","$2,206 ","$2,217 ","$2,245 ","$2,332 ","$2,459 ","$2,467 ","$2,425 ","$2,506 ","$2,384 ","$2,317 ","$2,297 ","$2,372 ","$2,293 ","$2,426 ","$2,578 ","$2,572 ","$2,606 ","$2,641 ","$2,800 ","$2,968 ","$3,068 ","$3,178 ","$3,294 ","$3,399 ","$3,433 ","$3,617 ","$3,624 ","$3,424 ","$3,421 ","$3,597 ","$3,590 ","$3,500 ","$3,521 ","$3,641 "
Sao Tome and Principe,$974 ,$979 ,$980 ,$974 ,$971 ,$970 ,$963 ,$950 ,$938 ,$927 ,$918 ,$911 ,$904 ,$903 ,$902 ,$900 ,$897 ,$895 ,$893 ,$888 ,$886 ,$882 ,$882 ,$871 ,$866 ,$871 ,$872 ,$869 ,$860 ,$864 ,$867 ,$879 ,$887 ,$884 ,$923 ,$943 ,$937 ,"$1,032 ","$1,029 ","$1,098 ","$1,118 ","$1,144 ","$1,175 ","$1,198 ","$1,221 ","$1,249 ",..
Saudi Arabia,"$13,712 ","$14,459 ","$16,423 ","$19,202 ","$22,869 ","$27,216 ","$26,222 ","$27,745 ","$27,790 ","$25,672 ","$26,243 ","$26,133 ","$25,758 ","$21,777 ","$18,953 ","$17,381 ","$15,533 ","$15,508 ","$14,291 ","$14,843 ","$14,293 ","$15,260 ","$16,399 ","$16,399 ","$15,868 ","$15,477 ","$15,051 ","$15,126 ","$15,107 ","$15,145 ","$14,674 ","$15,036 ","$14,783 ","$14,484 ","$15,272 ","$16,356 ","$17,215 ","$17,850 ","$18,591 ","$19,819 ","$19,853 ","$20,473 ","$22,168 ","$23,007 ","$23,266 ","$23,715 ","$21,313 "
Senegal,$918 ,$968 ,$938 ,$967 ,$886 ,$896 ,$941 ,"$1,003 ",$954 ,$895 ,$934 ,$881 ,$903 ,$949 ,$876 ,$886 ,$891 ,$895 ,$924 ,$894 ,$902 ,$869 ,$867 ,$854 ,$844 ,$822 ,$844 ,$840 ,$845 ,$872 ,$906 ,$913 ,$931 ,$913 ,$949 ,$978 ,"$1,005 ","$1,003 ","$1,025 ","$1,035 ","$1,033 ","$1,049 ","$1,044 ","$1,053 ","$1,063 ","$1,077 ","$1,044 "
Serbia,"$3,094 ","$3,148 ","$3,203 ","$3,271 ","$3,341 ","$3,412 ","$3,485 ","$3,559 ","$3,635 ","$3,713 ","$3,792 ","$3,873 ","$3,956 ","$4,044 ","$4,134 ","$4,226 ","$4,321 ","$4,420 ","$4,524 ","$4,632 ","$6,765 ","$6,218 ","$5,635 ","$4,126 ","$2,869 ","$2,943 ","$3,126 ","$3,195 ","$3,431 ","$3,523 ","$3,094 ","$3,366 ","$3,561 ","$3,816 ","$3,989 ","$4,358 ","$4,612 ","$4,855 ","$5,160 ","$5,462 ","$5,316 ","$5,373 ","$5,473 ","$5,443 ","$5,609 ","$5,533 ","$5,659 "
Seychelles,"$3,293 ","$3,479 ","$3,922 ","$4,081 ","$4,395 ","$4,384 ","$4,432 ","$5,065 ","$4,665 ","$5,593 ","$6,400 ","$6,055 ","$5,494 ","$5,384 ","$5,246 ","$5,429 ","$5,972 ","$5,904 ","$6,108 ","$6,369 ","$6,999 ","$7,406 ","$7,520 ","$7,964 ","$8,363 ","$8,205 ","$8,051 ","$8,359 ","$9,274 ","$9,954 ","$10,015 ","$10,035 ","$9,683 ","$9,686 ","$9,013 ","$8,659 ","$9,336 ","$10,104 ","$11,039 ","$10,691 ","$10,466 ","$10,980 ","$11,734 ","$12,327 ","$13,025 ","$13,267 ","$13,618 "
Sierra Leone,$439 ,$469 ,$478 ,$474 ,$477 ,$486 ,$485 ,$474 ,$465 ,$467 ,$479 ,$492 ,$497 ,$510 ,$489 ,$498 ,$461 ,$457 ,$478 ,$434 ,$427 ,$424 ,$424 ,$350 ,$368 ,$372 ,$350 ,$363 ,$346 ,$354 ,$348 ,$364 ,$318 ,$379 ,$398 ,$411 ,$419 ,$432 ,$457 ,$472 ,$477 ,$491 ,$509 ,$574 ,$674 ,$704 ,$498 
Singapore,"$5,803 ","$6,507 ","$7,160 ","$7,980 ","$8,704 ","$9,114 ","$9,396 ","$9,959 ","$10,557 ","$11,338 ","$12,251 ","$13,309 ","$14,025 ","$14,371 ","$15,381 ","$16,405 ","$16,254 ","$16,468 ","$17,950 ","$19,425 ","$20,763 ","$22,179 ","$22,874 ","$23,713 ","$25,628 ","$27,576 ","$28,665 ","$29,969 ","$31,582 ","$30,091 ","$31,147 ","$33,099 ","$31,949 ","$32,425 ","$33,020 ","$35,308 ","$37,066 ","$39,427 ","$42,053 ","$41,861 ","$40,738 ","$45,995 ","$47,857 ","$48,505 ","$49,669 ","$50,136 ","$51,855 "
Slovakia,"$6,512 ","$6,645 ","$6,801 ","$6,956 ","$7,103 ","$7,253 ","$7,402 ","$7,552 ","$7,707 ","$7,866 ","$8,033 ","$8,209 ","$8,382 ","$8,583 ","$8,790 ","$9,010 ","$9,270 ","$9,605 ","$9,790 ","$9,934 ","$10,013 ","$9,713 ","$8,267 ","$7,681 ","$7,796 ","$8,247 ","$8,702 ","$9,270 ","$9,814 ","$10,192 ","$10,161 ","$10,275 ","$10,612 ","$11,111 ","$11,711 ","$12,321 ","$13,122 ","$14,202 ","$15,713 ","$16,556 ","$15,666 ","$16,405 ","$16,826 ","$17,077 ","$17,313 ","$17,723 ","$18,508 "
Slovenia,"$8,420 ","$8,634 ","$8,849 ","$9,075 ","$9,307 ","$9,540 ","$9,785 ","$10,015 ","$10,251 ","$10,493 ","$10,735 ","$10,704 ","$10,998 ","$11,204 ","$11,444 ","$11,687 ","$11,936 ","$12,191 ","$12,480 ","$12,761 ","$13,060 ","$15,558 ","$14,114 ","$13,345 ","$13,719 ","$14,442 ","$14,955 ","$15,445 ","$16,202 ","$16,741 ","$17,634 ","$18,358 ","$18,894 ","$19,616 ","$20,172 ","$21,051 ","$21,898 ","$23,145 ","$24,765 ","$25,602 ","$23,630 ","$23,949 ","$24,132 ","$23,536 ","$23,347 ","$24,016 ","$23,896 "
Solomon Islands,$561 ,$584 ,$607 ,$629 ,$654 ,$680 ,$705 ,$733 ,$758 ,$785 ,$814 ,$844 ,$877 ,$911 ,$946 ,$983 ,"$1,022 ","$1,062 ","$1,104 ","$1,148 ","$1,194 ","$1,242 ","$1,276 ","$1,393 ","$1,405 ","$1,487 ","$1,561 ","$1,540 ","$1,473 ","$1,456 ","$1,409 ","$1,174 ","$1,051 ",$994 ,"$1,031 ","$1,053 ","$1,082 ","$1,129 ","$1,182 ","$1,235 ","$1,150 ","$1,201 ","$1,326 ","$1,358 ","$1,369 ","$1,361 ","$1,469 "
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
South Africa,"$5,910 ","$6,061 ","$6,159 ","$6,104 ","$6,224 ","$6,439 ","$6,387 ","$6,369 ","$6,208 ","$6,239 ","$6,317 ","$6,564 ","$6,705 ","$6,471 ","$6,153 ","$6,265 ","$5,995 ","$5,851 ","$5,833 ","$5,937 ","$5,942 ","$5,793 ","$5,614 ","$5,387 ","$5,343 ","$5,423 ","$5,522 ","$5,688 ","$5,765 ","$5,716 ","$5,778 ","$5,946 ","$6,030 ","$6,169 ","$6,260 ","$6,453 ","$6,700 ","$6,982 ","$7,262 ","$7,396 ","$7,188 ","$7,342 ","$7,529 ","$7,628 ","$7,721 ","$7,753 ","$75,117 "
South Africa,"$5,910 ","$6,061 ","$6,159 ","$6,104 ","$6,224 ","$6,439 ","$6,387 ","$6,369 ","$6,208 ","$6,239 ","$6,317 ","$6,564 ","$6,705 ","$6,471 ","$6,153 ","$6,265 ","$5,995 ","$5,851 ","$5,833 ","$5,937 ","$5,942 ","$5,793 ","$5,614 ","$5,387 ","$5,343 ","$5,423 ","$5,522 ","$5,688 ","$5,765 ","$5,716 ","$5,778 ","$5,946 ","$6,030 ","$6,169 ","$6,260 ","$6,453 ","$6,700 ","$6,982 ","$7,262 ","$7,396 ","$7,188 ","$7,342 ","$7,529 ","$7,628 ","$7,721 ","$7,753 ","$7,575 "
South Korea,"$1,775 ","$1,960 ","$2,123 ","$2,219 ","$2,505 ","$2,691 ","$2,840 ","$3,170 ","$3,489 ","$3,787 ","$4,049 ","$3,911 ","$4,135 ","$4,410 ","$4,874 ","$5,289 ","$5,629 ","$6,255 ","$6,953 ","$7,689 ","$8,127 ","$8,795 ","$9,545 ","$9,981 ","$10,500 ","$11,316 ","$12,221 ","$12,994 ","$13,642 ","$12,767 ","$14,035 ","$15,159 ","$15,731 ","$16,808 ","$17,221 ","$17,991 ","$18,638 ","$19,554 ","$20,568 ","$21,094 ","$21,186 ","$22,504 ","$23,276 ","$23,758 ","$24,398 ","$25,162 ","$25,023 "
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$718 
Spain,"$12,847 ","$13,519 ","$14,016 ","$15,018 ","$16,038 ","$16,771 ","$16,683 ","$17,026 ","$17,297 ","$17,349 ","$17,198 ","$17,443 ","$17,299 ","$17,407 ","$17,622 ","$17,853 ","$18,186 ","$18,694 ","$19,643 ","$20,552 ","$21,456 ","$22,190 ","$22,691 ","$22,849 ","$22,565 ","$23,062 ","$23,664 ","$24,263 ","$25,103 ","$26,094 ","$27,125 ","$28,322 ","$29,127 ","$29,539 ","$29,990 ","$30,451 ","$31,075 ","$31,843 ","$32,473 ","$32,335 ","$30,921 ","$30,785 ","$30,432 ","$29,614 ","$29,047 ","$29,224 ","$30,588 "
Sri Lanka,$605 ,$615 ,$611 ,$597 ,$628 ,$642 ,$671 ,$682 ,$705 ,$731 ,$763 ,$793 ,$824 ,$848 ,$881 ,$922 ,$960 ,$988 ,$991 ,"$1,004 ","$1,014 ","$1,068 ","$1,108 ","$1,143 ","$1,205 ","$1,254 ","$1,306 ","$1,340 ","$1,408 ","$1,459 ","$1,503 ","$1,573 ","$1,531 ","$1,574 ","$1,648 ","$1,718 ","$1,810 ","$1,928 ","$2,040 ","$2,141 ","$2,198 ","$2,351 ","$2,521 ","$2,656 ","$2,823 ","$3,005 ","$3,638 "
St Kitts and Nevis,"$2,448 ","$2,642 ","$2,805 ","$2,973 ","$3,152 ","$3,343 ","$3,546 ","$3,752 ","$3,959 ","$4,278 ","$4,702 ","$5,117 ","$5,184 ","$5,115 ","$5,082 ","$5,628 ","$6,010 ","$6,744 ","$7,375 ","$8,098 ","$8,772 ","$9,027 ","$9,117 ","$9,388 ","$9,890 ","$10,261 ","$10,509 ","$11,081 ","$11,701 ","$11,691 ","$12,157 ","$12,297 ","$12,761 ","$12,857 ","$12,409 ","$12,874 ","$13,956 ","$14,662 ","$14,960 ","$15,449 ","$14,461 ","$13,877 ","$13,996 ","$13,712 ","$14,115 ","$14,892 ","$14,813 "
St Lucia,"$2,686 ","$2,719 ","$2,744 ","$2,775 ","$2,806 ","$2,842 ","$2,893 ","$2,918 ","$2,956 ","$2,994 ","$3,051 ","$3,031 ","$3,099 ","$2,729 ","$2,806 ","$3,417 ","$3,172 ","$3,597 ","$3,626 ","$4,028 ","$4,361 ","$5,346 ","$5,426 ","$5,732 ","$5,805 ","$5,813 ","$5,928 ","$6,178 ","$6,139 ","$6,473 ","$6,578 ","$6,815 ","$6,516 ","$6,478 ","$6,758 ","$7,277 ","$7,122 ","$7,679 ","$7,598 ","$7,828 ","$7,845 ","$7,732 ","$7,798 ","$7,644 ","$7,582 ","$7,435 ","$6,889 "
St Vincent and the Grenadines,"$1,694 ","$1,892 ","$1,950 ","$2,417 ","$2,121 ","$1,910 ","$1,741 ","$1,897 ","$1,928 ","$2,131 ","$2,173 ","$2,192 ","$2,302 ","$2,381 ","$2,454 ","$2,571 ","$2,703 ","$2,858 ","$2,967 ","$3,380 ","$3,444 ","$3,596 ","$3,599 ","$3,861 ","$3,855 ","$3,734 ","$3,768 ","$3,820 ","$4,333 ","$4,566 ","$4,780 ","$4,751 ","$4,844 ","$5,167 ","$5,584 ","$5,838 ","$6,006 ","$6,490 ","$6,729 ","$6,863 ","$6,743 ","$6,538 ","$6,528 ","$6,626 ","$6,765 ","$6,755 ","$6,523 "
Sudan,$963 ,$993 ,$988 ,$913 ,$894 ,$967 ,"$1,085 ","$1,229 ","$1,266 ","$1,156 ","$1,065 ","$1,049 ","$1,093 ","$1,124 ","$1,109 ","$1,015 ",$916 ,$930 ,"$1,023 ",$982 ,"$1,030 ",$938 ,$971 ,$997 ,"$1,008 ",$998 ,"$1,037 ","$1,077 ","$1,167 ","$1,194 ","$1,207 ","$1,258 ","$1,314 ","$1,371 ","$1,448 ","$1,474 ","$1,554 ","$1,677 ","$1,833 ","$1,936 ","$1,956 ","$1,989 ","$1,917 ","$1,839 ","$1,865 ","$1,888 ","$1,723 "
Suriname,"$6,441 ","$6,557 ","$6,733 ","$6,719 ","$6,700 ","$7,022 ","$7,610 ","$7,554 ","$8,139 ","$8,633 ","$8,167 ","$7,934 ","$7,798 ","$7,454 ","$7,057 ","$6,644 ","$6,397 ","$6,083 ","$5,173 ","$5,571 ","$6,110 ","$6,034 ","$6,181 ","$6,138 ","$5,673 ","$5,829 ","$5,828 ","$5,829 ","$6,072 ","$6,060 ","$5,898 ","$5,788 ","$5,952 ","$6,102 ","$6,361 ","$6,841 ","$7,044 ","$7,197 ","$7,433 ","$7,611 ","$7,720 ","$8,003 ","$8,313 ","$8,456 ","$8,597 ","$8,706 ","$9,279 "
Swaziland,$957 ,"$1,045 ","$1,157 ","$1,188 ","$1,261 ","$1,297 ","$1,438 ","$1,369 ","$1,343 ","$1,320 ","$1,315 ","$1,423 ","$1,580 ","$1,553 ","$1,519 ","$1,557 ","$1,559 ","$1,686 ","$1,862 ","$1,893 ","$2,051 ","$2,391 ","$2,325 ","$2,309 ","$2,309 ","$2,350 ","$2,442 ","$2,465 ","$2,473 ","$2,471 ","$2,481 ","$2,466 ","$2,440 ","$2,433 ","$2,441 ","$2,468 ","$2,487 ","$2,527 ","$2,575 ","$2,598 ","$2,595 ","$2,605 ","$2,608 ","$2,646 ","$2,694 ","$2,729 ","$3,068 "
Sweden,"$24,022 ","$26,464 ","$26,531 ","$27,058 ","$28,082 ","$28,896 ","$29,518 ","$29,722 ","$29,144 ","$29,568 ","$30,637 ","$31,095 ","$31,198 ","$31,570 ","$32,155 ","$33,461 ","$34,127 ","$34,930 ","$35,941 ","$36,653 ","$37,374 ","$37,330 ","$36,616 ","$35,981 ","$35,035 ","$36,210 ","$37,471 ","$37,978 ","$39,056 ","$40,684 ","$42,493 ","$44,432 ","$45,006 ","$45,790 ","$46,709 ","$48,536 ","$49,705 ","$51,743 ","$53,112 ","$52,407 ","$49,269 ","$51,777 ","$52,759 ","$52,224 ","$52,488 ","$53,262 ","$54,989 "
Switzerland,"$47,264 ","$48,549 ","$49,920 ","$51,050 ","$52,283 ","$52,888 ","$49,469 ","$49,315 ","$50,650 ","$50,728 ","$51,842 ","$53,936 ","$54,451 ","$53,378 ","$53,441 ","$54,803 ","$56,515 ","$57,216 ","$57,709 ","$59,113 ","$61,124 ","$62,687 ","$61,381 ","$60,692 ","$60,072 ","$60,348 ","$60,272 ","$60,427 ","$61,710 ","$63,396 ","$64,211 ","$66,426 ","$67,065 ","$66,828 ","$66,536 ","$68,125 ","$69,904 ","$72,413 ","$74,902 ","$75,788 ","$73,381 ","$74,803 ","$75,375 ","$75,486 ","$76,253 ","$77,128 ","$75,551 "
Syria,"$1,080 ","$1,006 ","$1,069 ","$1,292 ","$1,143 ","$1,372 ","$1,586 ","$1,702 ","$1,625 ","$1,709 ","$1,713 ","$1,855 ","$1,965 ","$1,933 ","$1,889 ","$1,747 ","$1,787 ","$1,638 ","$1,610 ","$1,759 ","$1,548 ","$1,606 ","$1,675 ","$1,847 ","$1,889 ","$1,980 ","$2,037 ","$2,070 ","$2,052 ","$2,126 ","$1,998 ","$2,001 ","$2,054 ","$2,123 ","$2,085 ","$2,177 ","$2,259 ","$2,279 ","$2,272 ","$2,302 ","$2,417 ","$2,452 ","$2,125 ","$1,755 ","$1,557 ","$1,596 ",..
Taiwan,"$1,921 ","$2,079 ","$2,288 ","$2,534 ","$2,777 ","$2,773 ","$2,872 ","$3,194 ","$3,473 ","$3,867 ","$4,095 ","$4,295 ","$4,489 ","$4,585 ","$4,888 ","$5,267 ","$5,410 ","$5,937 ","$6,503 ","$6,789 ","$7,399 ","$7,880 ","$8,414 ","$8,967 ","$9,478 ","$10,093 ","$10,637 ","$11,138 ","$11,650 ","$11,950 ","$12,561 ","$13,182 ","$12,871 ","$13,474 ","$13,900 ","$14,720 ","$15,351 ","$16,133 ","$17,116 ","$17,178 ","$16,851 ","$18,592 ","$19,259 ","$19,605 ","$19,986 ","$20,686 ",$917 
Tajikistan,"$1,773 ","$1,755 ","$1,731 ","$1,707 ","$1,689 ","$1,671 ","$1,654 ","$1,638 ","$1,623 ","$1,611 ","$1,601 ","$1,591 ","$1,581 ","$1,570 ","$1,558 ","$1,544 ","$1,365 ","$1,369 ","$1,311 ","$1,451 ","$1,319 ","$1,280 ","$1,160 ",$810 ,$671 ,$523 ,$452 ,$371 ,$371 ,$383 ,$388 ,$413 ,$447 ,$487 ,$531 ,$575 ,$602 ,$632 ,$668 ,$708 ,$721 ,$754 ,$794 ,$839 ,$884 ,$927 ,$842 
Tanzania,$458 ,$458 ,$458 ,$457 ,$456 ,$455 ,$456 ,$456 ,$456 ,$457 ,$458 ,$459 ,$460 ,$461 ,$462 ,$462 ,$463 ,$464 ,$464 ,$465 ,$469 ,$488 ,$485 ,$474 ,$464 ,$454 ,$456 ,$467 ,$472 ,$475 ,$484 ,$493 ,$507 ,$527 ,$547 ,$573 ,$602 ,$612 ,$645 ,$661 ,$679 ,$702 ,$736 ,$752 ,$784 ,$816 ,"$5,775 "
Thailand,$813 ,$881 ,$897 ,$910 ,$977 ,$996 ,"$1,022 ","$1,093 ","$1,175 ","$1,270 ","$1,310 ","$1,348 ","$1,398 ","$1,444 ","$1,496 ","$1,553 ","$1,597 ","$1,657 ","$1,785 ","$1,990 ","$2,198 ","$2,406 ","$2,578 ","$2,750 ","$2,939 ","$3,163 ","$3,412 ","$3,571 ","$3,484 ","$3,085 ","$3,193 ","$3,319 ","$3,364 ","$3,516 ","$3,740 ","$3,953 ","$4,111 ","$4,297 ","$4,490 ","$4,579 ","$4,452 ","$4,780 ","$4,764 ","$5,054 ","$5,181 ","$5,199 ",$988 
Togo,$653 ,$624 ,$606 ,$634 ,$640 ,$652 ,$649 ,$617 ,$642 ,$692 ,$637 ,$708 ,$661 ,$615 ,$562 ,$573 ,$584 ,$573 ,$556 ,$572 ,$575 ,$555 ,$533 ,$496 ,$423 ,$483 ,$493 ,$512 ,$564 ,$535 ,$532 ,$513 ,$491 ,$473 ,$483 ,$480 ,$474 ,$481 ,$477 ,$474 ,$476 ,$482 ,$491 ,$506 ,$518 ,$533 ,$555 
Tonga,"$2,450 ","$2,485 ","$2,522 ","$2,557 ","$2,596 ","$2,645 ","$2,677 ","$2,725 ","$2,790 ","$2,856 ","$2,925 ","$2,588 ","$2,251 ","$2,344 ","$2,376 ","$2,408 ","$2,550 ","$2,590 ","$2,655 ","$2,595 ","$2,597 ","$2,538 ","$2,694 ","$2,694 ","$2,788 ","$2,919 ","$3,020 ","$3,015 ","$2,997 ","$3,056 ","$3,153 ","$3,237 ","$3,331 ","$3,423 ","$3,475 ","$3,480 ","$3,515 ","$3,458 ","$3,283 ","$3,348 ","$3,372 ","$3,501 ","$3,562 ","$3,574 ","$3,472 ","$3,543 ",..
Trinidad and Tobago,"$6,544 ","$6,831 ","$6,855 ","$7,150 ","$7,198 ","$7,392 ","$7,415 ","$7,778 ","$8,344 ","$9,036 ","$9,209 ","$10,003 ","$10,297 ","$10,528 ","$9,385 ","$8,688 ","$8,189 ","$7,794 ","$7,337 ","$6,974 ","$6,862 ","$6,926 ","$7,083 ","$6,949 ","$6,840 ","$7,082 ","$7,368 ","$7,670 ","$7,892 ","$8,522 ","$8,917 ","$9,486 ","$9,896 ","$10,716 ","$12,297 ","$13,301 ","$14,098 ","$16,064 ","$16,851 ","$17,444 ","$16,696 ","$16,748 ","$16,496 ","$16,762 ","$17,047 ","$17,355 ","$16,245 "
Tunisia,"$1,201 ","$1,232 ","$1,336 ","$1,542 ","$1,497 ","$1,580 ","$1,650 ","$1,732 ","$1,748 ","$1,821 ","$1,896 ","$1,985 ","$2,043 ","$1,994 ","$2,049 ","$2,069 ","$2,133 ","$2,051 ","$2,137 ","$2,093 ","$2,088 ","$2,212 ","$2,256 ","$2,388 ","$2,398 ","$2,433 ","$2,453 ","$2,591 ","$2,697 ","$2,792 ","$2,928 ","$3,034 ","$3,128 ","$3,149 ","$3,284 ","$3,433 ","$3,528 ","$3,691 ","$3,882 ","$4,026 ","$4,129 ","$4,221 ","$4,158 ","$4,310 ","$4,377 ","$4,436 ","$4,235 "
Turkey,"$3,912 ","$3,947 ","$4,073 ","$4,269 ","$4,293 ","$4,417 ","$4,615 ","$4,982 ","$5,042 ","$5,011 ","$4,880 ","$4,667 ","$4,767 ","$4,811 ","$4,926 ","$5,132 ","$5,228 ","$5,473 ","$5,867 ","$5,880 ","$5,778 ","$6,194 ","$6,130 ","$6,333 ","$6,710 ","$6,299 ","$6,692 ","$7,078 ","$7,501 ","$7,563 ","$7,203 ","$7,582 ","$7,051 ","$7,386 ","$7,674 ","$8,285 ","$8,869 ","$9,363 ","$9,683 ","$9,635 ","$9,067 ","$9,790 ","$10,536 ","$10,634 ","$10,936 ","$11,104 ","$11,525 "
