country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,"$22,596 ","$23,989 ","$24,663 ","$25,705 ","$27,160 ","$27,774 ","$27,873 ","$28,938 ","$29,588 ","$30,451 ","$31,296 ","$31,561 ","$32,265 ","$30,915 ","$31,392 ","$32,824 ","$34,043 ","$34,443 ","$35,368 ","$36,569 ","$36,775 ","$36,277 ","$35,095 ","$34,865 ","$35,270 ","$36,401 ","$36,945 ","$37,145 ","$38,368 ","$39,634 ","$41,252 ","$42,976 ","$43,316 ","$44,158 ","$44,657 ","$45,707 ","$46,787 ","$47,616 ","$48,160 ","$48,320 ","$46,625 ","$47,809 ","$48,832 ","$49,380 ","$49,979 ","$50,852 ","$50,001 "
Cape Verde,$387 ,$399 ,$417 ,$438 ,$462 ,$487 ,$514 ,$540 ,$566 ,$594 ,$622 ,$652 ,$698 ,$708 ,$765 ,$783 ,$839 ,$852 ,$876 ,$915 ,$954 ,$948 ,$941 ,"$1,016 ","$1,075 ","$1,248 ","$1,391 ","$1,512 ","$1,641 ","$1,807 ","$1,968 ","$2,205 ","$2,211 ","$2,285 ","$2,338 ","$2,532 ","$2,662 ","$2,828 ","$3,205 ","$3,366 ","$3,273 ","$3,272 ","$3,353 ","$3,341 ","$3,328 ","$3,372 ",
Central African Republic,$603 ,$602 ,$594 ,$581 ,$581 ,$605 ,$592 ,$608 ,$615 ,$607 ,$576 ,$535 ,$513 ,$538 ,$482 ,$510 ,$514 ,$520 ,$483 ,$478 ,$475 ,$452 ,$436 ,$397 ,$386 ,$394 ,$413 ,$388 ,$399 ,$408 ,$412 ,$393 ,$403 ,$410 ,$380 ,$396 ,$393 ,$399 ,$409 ,$408 ,$406 ,$410 ,$414 ,$422 ,$264 ,$261 ,$283 
Chad,$622 ,$620 ,$593 ,$588 ,$527 ,$542 ,$578 ,$582 ,$583 ,$567 ,$436 ,$410 ,$415 ,$417 ,$459 ,$463 ,$560 ,$521 ,$492 ,$552 ,$563 ,$527 ,$555 ,$577 ,$477 ,$516 ,$501 ,$492 ,$505 ,$524 ,$505 ,$486 ,$527 ,$554 ,$613 ,$788 ,$894 ,$877 ,$884 ,$891 ,$909 ,"$1,011 ",$991 ,"$1,058 ","$1,097 ","$1,154 ",$952 
Chile,"$4,451 ","$4,463 ","$4,782 ","$4,661 ","$4,354 ","$4,387 ","$3,825 ","$3,890 ","$4,165 ","$4,413 ","$4,729 ","$5,040 ","$5,195 ","$4,580 ","$4,330 ","$4,599 ","$4,847 ","$5,037 ","$5,283 ","$5,574 ","$6,057 ","$6,168 ","$6,538 ","$7,211 ","$7,583 ","$7,884 ","$8,586 ","$9,088 ","$9,550 ","$9,723 ","$9,523 ","$9,830 ","$10,045 ","$10,152 ","$10,446 ","$10,969 ","$11,470 ","$11,863 ","$12,358 ","$12,643 ","$12,390 ","$12,980 ","$13,612 ","$14,226 ","$14,699 ","$14,850 ","$14,626 "
China,$193 ,$225 ,$234 ,$237 ,$250 ,$251 ,$267 ,$259 ,$275 ,$303 ,$322 ,$342 ,$356 ,$382 ,$416 ,$473 ,$529 ,$567 ,$623 ,$681 ,$698 ,$715 ,$771 ,$870 ,$981 ,"$1,097 ","$1,205 ","$1,312 ","$1,422 ","$1,522 ","$1,627 ","$1,753 ","$1,888 ","$2,049 ","$2,243 ","$2,456 ","$2,720 ","$3,049 ","$3,463 ","$3,776 ","$4,104 ","$4,518 ","$4,924 ","$5,281 ","$5,661 ","$6,050 ","$6,416 "
Colombia,"$2,728 ","$2,841 ","$2,933 ","$3,081 ","$3,214 ","$3,322 ","$3,322 ","$3,410 ","$3,483 ","$3,711 ","$3,836 ","$3,909 ","$3,912 ","$3,863 ","$3,837 ","$3,878 ","$3,911 ","$4,049 ","$4,174 ","$4,249 ","$4,301 ","$4,466 ","$4,476 ","$4,607 ","$4,624 ","$4,801 ","$4,962 ","$4,987 ","$5,086 ","$5,046 ","$4,780 ","$4,947 ","$4,979 ","$5,040 ","$5,167 ","$5,366 ","$5,542 ","$5,835 ","$6,157 ","$6,295 ","$6,320 ","$6,493 ","$6,840 ","$7,036 ","$7,302 ","$7,551 ","$7,448 "
Comoros Islands,"$1,092 ","$1,079 ","$1,065 ","$1,052 ","$1,038 ","$1,024 ","$1,010 ",$997 ,$933 ,$920 ,$906 ,$791 ,$803 ,$834 ,$854 ,$867 ,$866 ,$861 ,$855 ,$858 ,$811 ,$833 ,$770 ,$817 ,$822 ,$761 ,$771 ,$744 ,$756 ,$747 ,$742 ,$734 ,$800 ,$797 ,$792 ,$786 ,$787 ,$786 ,$772 ,$756 ,$752 ,$751 ,$754 ,$760 ,$771 ,$779 ,..
Congo,"$1,687 ","$1,749 ","$1,836 ","$1,943 ","$2,048 ","$2,150 ","$2,252 ","$2,209 ","$1,955 ","$2,022 ","$2,159 ","$2,469 ","$2,824 ","$3,394 ","$3,494 ","$3,635 ","$3,493 ","$3,163 ","$3,080 ","$3,047 ","$3,037 ","$2,981 ","$2,965 ","$2,957 ","$2,841 ","$2,606 ","$2,635 ","$2,676 ","$2,603 ","$2,641 ","$2,507 ","$2,595 ","$2,595 ","$2,656 ","$2,601 ","$2,592 ","$2,681 ","$2,725 ","$2,573 ","$2,628 ","$2,717 ","$2,834 ","$2,836 ","$2,871 ","$2,915 ","$3,047 ","$3,163 "
Costa Rica,"$3,539 ","$3,698 ","$3,838 ","$4,041 ","$4,234 ","$4,350 ","$4,321 ","$4,433 ","$4,690 ","$4,793 ","$4,880 ","$4,833 ","$4,607 ","$4,153 ","$4,152 ","$4,284 ","$4,203 ","$4,317 ","$4,488 ","$4,539 ","$4,646 ","$4,710 ","$4,723 ","$5,032 ","$5,259 ","$5,352 ","$5,411 ","$5,318 ","$5,476 ","$5,795 ","$6,129 ","$6,107 ","$6,057 ","$6,133 ","$6,425 ","$6,597 ","$6,883 ","$7,380 ","$7,853 ","$7,953 ","$7,763 ","$8,037 ","$8,290 ","$8,606 ","$8,788 ","$8,983 ","$9,130 "
